A0A024R1R8	ENSG00000225528
A0A024RCN7	SNHG32
A0A075B6H5	TRBV20OR9-2
A0A075B6H7	IGKV3-7
A0A075B6H8	IGKV1D-42
A0A075B6H9	IGLV4-69
A0A075B6I0	IGLV8-61
A0A075B6I1	IGLV4-60
A0A075B6I3	IGLV11-55
A0A075B6I4	IGLV10-54
A0A075B6I6	IGLV1-50
A0A075B6I7	IGLV5-48
A0A075B6I9	IGLV7-46
A0A075B6J1	IGLV5-37
A0A075B6J2	IGLV2-33
A0A075B6J6	IGLV3-22
A0A075B6J9	IGLV2-18
A0A075B6K0	IGLV3-16
A0A075B6K2	IGLV3-12
A0A075B6K4	IGLV3-10
A0A075B6K5	IGLV3-9
A0A075B6K6	IGLV4-3
A0A075B6L2	TRGV11
A0A075B6L6	TRBV7-3
A0A075B6N1	TRBV19
A0A075B6N2	TRBV20-1
A0A075B6N3	TRBV24-1
A0A075B6N4	TRBV25-1
A0A075B6P5	IGKV2-28
A0A075B6Q5	IGHV3-64
A0A075B6R0	TRGV2
A0A075B6R2	IGHV4-4
A0A075B6R9	IGKV2D-24
A0A075B6S0	TRGJ1
A0A075B6S2	IGKV2D-29
A0A075B6S4	IGKV1D-17
A0A075B6S5	IGKV1-27
A0A075B6S6	IGKV2D-30
A0A075B6S9	IGKV1-37
A0A075B6T6	TRAV12-2
A0A075B6T7	TRAV6
A0A075B6T8	TRAV9-1
A0A075B6U4	TRAV7
A0A075B6U6	TRAV8-7
A0A075B6U7	TRAJ23
A0A075B6U8	TRAJ12
A0A075B6U9	TRAJ2
A0A075B6V0	TRAJ16
A0A075B6V1	TRAJ43
A0A075B6V2	TRAJ21
A0A075B6V3	TRAJ48
A0A075B6V5	TRAV36DV7
A0A075B6V6	TRDJ2
A0A075B6V7	TRAJ26
A0A075B6V8	TRAJ5
A0A075B6V9	TRAJ59
A0A075B6W1	TRDJ3
A0A075B6W2	TRAJ52
A0A075B6W3	TRAJ33
A0A075B6W4	TRAJ46
A0A075B6W5	TRAV23DV6
A0A075B6W6	TRAJ27
A0A075B6W7	TRAJ38
A0A075B6W8	TRAJ17
A0A075B6W9	TRAJ53
A0A075B6X0	TRAJ45
A0A075B6X3	TRAJ32
A0A075B6X4	TRAJ28
A0A075B6X5	TRAV18
A0A075B6X7	TRAJ50
A0A075B6X8	TRAJ44
A0A075B6X9	TRAJ18
