# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AADAC	AADAC	NM_001086.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110202.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110203.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AARS1	AARS1	NM_001605.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AASDH	AASDH	NM_001286668.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286669.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286670.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286671.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286672.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323890.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323892.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323893.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323899.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_181806.4	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.5	protein_coding	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
ABCA2	ABCA2	NM_001606.5	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCA2	ABCA2	NM_212533.3	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCA4	ABCA4	NM_000350.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA7	ABCA7	NM_019112.4	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163941.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_178559.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NM_001198934.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NM_001350518.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NM_033450.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NR_146762.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_001370496.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_001370497.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_032583.4	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_033151.4	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_145186.3	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001105515.3	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301829.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301830.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_005845.4	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	NM_001171.5.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	NM_001351800.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	NR_147784.1.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_005691.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_020297.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001257386.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348985.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348986.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348987.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348988.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348989.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_004827.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_001357321.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_022437.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD15	ABHD15	NM_198147.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD3	ABHD3	NM_001308256.2	protein_coding	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABHD3	ABHD3	NM_138340.5	protein_coding	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349329.1	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
ABI3BP	ABI3BP	NM_001349330.1	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
ABI3BP	ABI3BP	NM_001349331.1	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
ABI3BP	ABI3BP	NM_001349332.1	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
ABI3BP	ABI3BP	NM_001365642.1	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
ABI3BP	ABI3BP	NM_001365643.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_015429.3	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0	0
