NP_001355814	NM_001368885
NP_001355815	NM_001368886
NP_001361386	NM_001374457
NP_001347100	NM_001360171
NP_001355178	NM_001368249
NP_001355183	NM_001368254
NP_001355179	NM_001368250
NP_001355182	NM_001368253
NP_001337906	NM_001350977
NP_001243796	NM_001256867
NP_001229257	NM_001242328
NP_001032818	NM_001037729
NP_037523	NM_013391
NP_001107210	NM_001113738
NP_005963	NM_005972
NP_001243802	NM_001256873
NP_001229255	NM_001242326
NP_001350509	NM_001363580
NP_001342451	NM_001355522
NP_001351659	NM_001364730
NP_001362586	NM_001375657
NP_001278309	NM_001291380
NP_001229261	NM_001242332
NP_001035194	NM_001040105
NP_001229260	NM_001242331
NP_001229259	NM_001242330
NP_001019832	NM_001024661
NP_001032821	NM_001037732
NP_001075020	NM_001081551
NP_001300832	NM_001313903
NP_001013376	NM_001013358
NP_001138403	NM_001144931
NP_001357297	NM_001370368
NP_001265723	NM_001278794
NP_001189478	NM_001202549
NP_001189477	NM_001202548
NP_003987	NM_003996
NP_001129514	NM_001136042
NP_078926	NM_024650
NP_001137415	NM_001143943
NP_001275740	NM_001288811
NP_001271218	NM_001284289
NP_001128667	NM_001135195
NP_001243800	NM_001256871
NP_001186048	NM_001199119
NP_001275741	NM_001288812
NP_057716	NM_016632
NP_001271215	NM_001284286
NP_001002837	NM_001002837
NP_001275742	NM_001288813
NP_001271217	NM_001284288
NP_001189476	NM_001202547
NP_001186620	NM_001199691
NP_001271216	NM_001284287
NP_001355024	NM_001368095
NP_001241647	NM_001254718
NP_001193769	NM_001206840
NP_006455	NM_006464
NP_001280108	NM_001293179
NP_001342379	NM_001355450
NP_001353251	NM_001366322
NP_689781	NM_152568
NP_001034806	NM_001039717
NP_009104	NM_007173
NP_001351660	NM_001364731
NP_001314	NM_001323
NP_612204	NM_138331
NP_001341398	NM_001354469
NP_001280109	NM_001293180
NP_001365	NM_001374
NP_005606	NM_005615
NP_079239	NM_024963
NP_000951	NM_000960
NP_001017969	NM_001017969
NP_009048	NM_007117
NP_000942	NM_000951
NP_001317173	NM_001330244
NP_060368	NM_017898
NP_056344	NM_015529
NP_001288027	NM_001301098
NP_005208	NM_005217
NP_060616	NM_018146
NP_001263982	NM_001277053
NP_848665	NM_178570
NP_061989	NM_019116
NP_001289945	NM_001303016
NP_056366	NM_015551
NP_647537	NM_139321
NP_570612	NM_130794
NP_006790	NM_006799
NP_055624	NM_014809
NP_001335350	NM_001348421
NP_001116118	NM_001122646
NP_001026916	NM_001031746
NP_001339617	NM_001352688
NP_001271214	NM_001284285
NP_001278404	NM_001291475
NP_008842	NM_006911
NP_001073972	NM_001080503
NP_115709	NM_032333
NP_001341587	NM_001354658
NP_001127788	NM_001134316
NP_036245	NM_012113
NP_002771	NM_002780
NP_001352621	NM_001365692
NP_000733	NM_000742
NP_057731	NM_016647
NP_003543	NM_003552
NP_055258	NM_014443
NP_001339817	NM_001352888
NP_001355180	NM_001368251
NP_001846	NM_001855
NP_001350371	NM_001363442
NP_055321	NM_014506
NP_001171597	NM_001178126
NP_006669	NM_006678
NP_690875	NM_152911
NP_001008270	NM_001008269
NP_001010969	NM_001010969
NP_001350370	NM_001363441
NP_006565	NM_006574
NP_067071	NM_021248
NP_001118239	NM_001124767
NP_001291893	NM_001304964
NP_064450	NM_020066
NP_057034	NM_015950
NP_001035793	NM_001040703
NP_001155963	NM_001162491
NP_001357152	NM_001370223
NP_077019	NM_024114
NP_001186903	NM_001199974
NP_005483	NM_005492
NP_001354709	NM_001367780
NP_002409	NM_002418
NP_001357148	NM_001370219
NP_001164171	NM_001170700
NP_001138505	NM_001145033
NP_001308142	NM_001321213
NP_001823	NM_001832
NP_003858	NM_003867
NP_001351770	NM_001364841
NP_060284	NM_017814
NP_001357151	NM_001370222
