NM_002495	O43181	NDUFS4
NM_001349884	Q6UX65	DRAM2
NM_001127228	P83916	CBX1
NM_080752	Q96MP5	ZSWIM3
NM_001177306	P19021	PAM
NM_003341	P51965	UBE2E1
NM_002484	P53384	NUBP1
NM_001270483	Q16762	TST
NM_032273	Q9H061	TMEM126A
NM_001302695	Q4QY38	DEFB134
NM_001351285	Q9UBM8	MGAT4C
NM_006196	Q15365	PCBP1
NM_001287251	F8W1W9	NPIPB9
NM_001288655	Q8WVC6	DCAKD
NM_002437	P39210	MPV17
NM_032107	Q9Y468	L3MBTL1
NM_147128	Q8NHG8	ZNRF2
NM_001032221	P61764	STXBP1
NM_001145795	Q9NRF2	SH2B1
NM_020205	Q6GQQ9	OTUD7B
NM_004391	Q9UNU6	CYP8B1
NM_002572	P68402	PAFAH1B2
NM_003611	O75665	OFD1
NM_152515	Q8IYA6	CKAP2L
NM_181845	Q8N7M2	ZNF283
NM_152588	Q8N394	TMTC2
NM_001163646	Q70Z44	HTR3D
NM_004479	Q11130	FUT7
NM_007212	Q99496	RNF2
NM_013975	P49916	LIG3
NM_015966	Q9Y282	ERGIC3
NM_170707	P02545	LMNA
NM_002732	P22612	PRKACG
NM_018323	Q8TCG2	PI4K2B
NM_199351	Q71H61	ILDR2
NM_198572	Q76KD6	SPATC1
NM_138384	Q9BT17	MTG1
NM_007361	Q14112	NID2
NM_006884	O60902	SHOX2
NM_017546	Q9UKZ1	CNOT11
NM_012248	Q99611	SEPHS2
NM_020531	Q9HDC9	APMAP
NM_032744	Q96IZ2	ADTRP
NM_018013	A7XYQ1	SOBP
NM_001282468	H3BSY2	GOLGA8M
NM_002562	Q99572	P2RX7
NM_001080417	Q9UEG4	ZNF629
NM_032825	Q96SR6	ZNF382
NM_000194	P00492	HPRT1
NM_001651	P55064	AQP5
NM_001676	P54707	ATP12A
NM_002785	Q9UQ72	PSG11
NM_005214	P16410	CTLA4
NM_001278694	Q9UNW8	GPR132
NM_001194	Q9UL51	HCN2
NM_001349448	Q6YP21	KYAT3
NM_001396026	A0A494C0N9	FAM246B
NM_203405	Q6PEX3	KRTAP26-1
NM_015011	Q9Y6X6	MYO16
NM_139170	Q8IYS4	DNAAF8
NM_001130514	A6NGS2	ERICH4
NM_181786	P10072	ZNF875
NM_139178	Q96Q83	ALKBH3
NM_020651	Q96FA3	PELI1
NM_001368089	Q6JVE6	LCN10
NM_206828	Q8WX94	NLRP7
NM_138697	Q7RTX1	TAS1R1
NM_001365819	O95248	SBF1
NM_003023	P78314	SH3BP2
NM_033387	Q5JUQ0	FAM78A
NM_005734	Q9H422	HIPK3
NM_198215	Q8NE31	FAM13C
NM_020139	Q9BUT1	BDH2
NM_018838	Q9UI09	NDUFA12
NM_033126	Q96QS6	PSKH2
NM_001013734	Q6ZWI9	RFPL4B
NM_012259	Q9UBP5	HEY2
NM_015168	Q9UPT8	ZC3H4
NM_138473	P08047	SP1
NM_024575	Q6P589	TNFAIP8L2
NM_001371131	Q92823	NRCAM
NM_005213	P01040	CSTA
NM_138459	Q96E22	NUS1
NM_006024	Q86VP1	TAX1BP1
NM_022719	Q96DF8	ESS2
NM_003152	P42229	STAT5A
NM_014305	O95455	TGDS
NM_015690	Q9NRP7	STK36
NM_144609	Q96MW1	CCDC43
NM_001347953	Q9Y2J0	RPH3A
NM_177478	Q8N4E7	FTMT
NM_001290258	Q8WXK1	ASB15
NM_004627	O00258	GET1
NM_001369951	Q5JSP0	FGD3
NM_021030	P17017	ZNF14
NM_145160	Q13163	MAP2K5
NM_004622	Q15631	TSN
NM_007117	P20396	TRH
NM_001359084	P25063	CD24
NM_001282679	Q14C86	GAPVD1
NM_002489	O00483	NDUFA4
NM_016188	O94805	ACTL6B
NM_002185	P16871	IL7R
NM_000809	P48169	GABRA4
NM_001366712	Q9UI36	DACH1
NM_000943	P45877	PPIC
NM_018711	Q8N4V2	SVOP
NM_001013622	Q6NSI3	FAM53A
NM_014818	O15016	TRIM66
NM_001322457	A0A0G2JLE6	KRTAP4-8
NM_001001330	Q6NUK4	REEP3
NM_144573	Q0ZGT2	NEXN
NM_013443	Q969X2	ST6GALNAC6
NM_183235	P51159	RAB27A
NM_001370335	Q99502	EYA1
NM_004059	Q16773	KYAT1
NM_003370	P50552	VASP
